Crime,Case Number,Date/Time Reported,Date/Time Occurred,General Location,Disposition
Assault,IN20170001767,6/25/17 10:30 AM,6/25/17 10:30 AM,"Zayed Tower; Ground Floor
Entrance","Closed-Victim Declined to
Prosecute"
Forgery,IN20170001775,6/26/17 12:50 PM,6/26/17 12:50 PM,"1800 Monument Street; Outpatient
Pharmacy",Closed-Subject Arrested
Aggravated Assault,IN20170001780,6/27/17 9:31 AM,6/27/17 9:31 AM,"Corner of Monument &
Broadway",Closed-Subject Arrested
Aggravated Assault,IN20170001787,6/28/17 3:30 AM,6/28/17 3:30 AM,500 North Caroline Street,Closed-Referred to BPD
Theft from Auto,IN20170001803,6/29/17 3:55 PM,6/29/17 3:55 PM,Rutland Garage,Closed-Referred to BPD
Theft,IN20170001809,6/30/17 4:40 PM,"6/30/2017
10:30 AM - 3:25 PM",Weinberg Garage,Closed-Referred to BPD
Assault,IN20170001813,7/1/17 2:30 AM,7/1/17 2:00 - 2:30 AM,Orleans Circle,Closed-Referred to BPD
Theft,IN20170001818,7/2/17 8:41 PM,7/2/17 8:41 PM,Nelson Building 6th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170001824,7/3/17 7:30 PM,"7/3/17
10:45 AM - 11:05 AM",Zayed Tower 10th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170001825,7/3/17 6:30 PM,"7/3/17
08:30 AM - 1:30 PM",Nelson Building 5th floor,"Closed-No Suspects or
Witnesses"
Assault by Threat,IN20170001832,7/4/17 9:07 PM,7/4/17 9:07 PM,Zayed Tower1st floor; AED,Closed-Subject Banned
Theft,IN20170001834,7/5/17 10:00 AM,7/5/17 10:00 AM,Blalock Building Basement,"Closed - No Suspects or
Witnesses"
Assault,IN20170001855,7/6/17 5:08 AM,7/6/17 5:08 AM,Zayed Tower; 1st floor AED,"Closed-Victim Declined to
Prosecute"
Assault,IN20170001847,7/6/17 8:05 PM,7/6/17 8:05 AM,700 block North Broadway,Closed-Subject Arrested
Assault,IN20170001856,7/8/17 7:00 AM,7/8/17 7:00 AM,Zayed Tower; 1st floor AED,"Closed-Victim Declined to
Prosecute"
Robbery,IN20170001872,7/9/17 9:33 AM,7/8/17 4:30 PM,2000 block Madison Street,Closed-Referred to BPD
Trespassing,IN20170001862,7/9/17 9:25 PM,7/9/17 9:25 PM,Weinberg Building 3rd floor,Closed-Subject Arrested
Theft from Auto,IN20170001868,7/10/17 1:07 PM,"7/7/17
8:00 AM - 4:45 PM",Ashland Garage,Closed-Referred to BPD
Theft,IN20170001871,7/10/17 2:39 PM,"6/26/17 12:00 PM -
6/29/17 10:15 AM",2000 McElderry Street,Closed-Referred to BPD
Theft from Auto,IN20170001874,7/10/17 8:39 PM,"7/10/17
4:00 PM - 5:50 PM",Orleans Garage,Closed-Referred to BPD
Theft from Auto,IN20170001877,7/11/17 4:15 AM,7/11/17 12:20 AM,600 block N. Wolfe Street,Closed-Referred to BPD
Assault,IN20170001881,7/11/17 11:30 AM,7/11/17 11:30 AM,Outpatient Center; Pharmacy,"Closed-Victim Declined to
Prosecute"
Trespassing,IN20170001884,7/11/17 2:00 PM,7/11/17 2:00 PM,Orleans Garage,Closed-Subject Banned
Robbery,IN20170001888,7/11/17 5:30 PM,7/11/17 5:30 PM,2000 block Madison Street,Closed-Referred to BPD
Theft from Auto,IN20170001892,7/12/17 12:37 AM,7/12/17 12:37 AM,Monument & Rutland Streets,Closed-Referred to BPD
Theft,IN20170001914,7/13/17 8:40 PM,7/13/17 time unknown,Nelson Building 4th floor,Under Investigation
Theft,IN20170001921,7/14/17 12:00 PM,"7/12/17 time unknown -
7/14/17 12:00 PM",Park Building Ground Floor,"Closed-Victim Declined to
Prosecute"
Assault,IN20170001934,7/15/17 12:00 PM,7/15/17 11:55 AM,Zayed Tower 3rd floor,"Closed-Victim Declined to
Prosecute"
Trespassing,IN20170001937,7/15/17 2:00 PM,7/15/17 2:00 PM,Outpatient Center 6th floor,Closed-Subject Arrested
Theft,IN20170001938,7/15/17 4:45 PM,"7/15/17
3:00 PM - 4:45 PM",Nelson Building 6th floor,"Closed-No Suspects or
Witnesses"
Assault,IN20170001956,7/17/17 7:45 PM,7/17/17 7:45 PM,Nelson Building 7th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20170002002,7/21/17 3:30 PM,"7/21/2017
2:30 PM - 3:00 PM",Brady Building 2nd floor,"Closed-No Suspects or
Witnesses"
Destruction of Property,IN20170002015,7/22/17 10:50 PM,7/22/17 10:50 PM,Meyer Building 3rd floor,"Closed-Victim Declined to
Prosecute"
Theft from Auto,IN20170002043,7/24/17 11:30 AM,7/24/17 6:10 AM,500 block Washington Street,Closed-No Identifiable Suspect
Assault,IN20170002030,7/24/17 1:30 PM,7/24/17 1:19 PM,Zayed Tower 5th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20170002037,7/25/17 10:40 AM,7/25/17 time unknown,Blalock Building 8th floor,Under Investigation
Theft,IN20170002064,7/26/17 12:30 PM,7/26/17 12:30 PM,Meyer Building 6th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170002065,7/26/17 1:00 PM,7/26/17 1:00 PM,Meyer Building 6th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170002054,7/26/17 1:25 PM,"7/26/17
10:55 AM - 11:30 AM",CRB 1Building; 4th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170002057,7/26/17 4:45 PM,"7/26/17
10:06 AM - 4:00 PM",600 block North Wolfe Street,Closed-No Further Action
Theft from Auto,IN20170002061,7/27/17 4:00 AM,"7/26/2017 10:00 PM -
7/27/17 2:15 AM",600 block North Wolfe Street,Closed-Referred to BPD
Theft,IN20170002062,7/27/17 11:25 AM,"7/27/17
6:30 AM - 11:25 AM",Nelson Building 6th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170002075,7/27/17 6:30 PM,"7/27/17
12:56 AM - 4:30 PM",Nelson Building 1st floor,Closed-Referred to BPD
Destruction of Property,IN20170002078,7/27/17 8:00 PM,"7/27/2017
6:30 PM - 8:00 PM",500 block Washington Street,Closed-Referred to BPD
Destruction of Property,IN20170002089,7/28/17 10:48 AM,7/28/17 10:47 AM,Bloomberg Building 4th floor,"Closed-No Suspects or
Witnesses"
Destruction of Property,IN20170002113,7/31/17 4:55 AM,7/31/17 12:59 AM,700 block North Caroline,Closed-Referred to BPD
Theft,IN20170002137,8/1/17 8:15 PM,"8/1/17
3:45 PM - 8:15 PM",Weinberg Building 3rd floor,Under Investigation
Robbery,IN20170002142,8/2/17 3:15 PM,8/2/17 2:50 PM,"1800 Monument Street; Bank of
America",Closed-Referred to BPD
Theft,IN20170002173,8/7/17 11:20 AM,"8/7/17
10:45 AM - 11:15 AM",Meyer Building Basement,Under Investigation
Assault,IN20170002183,8/8/17 8:25 PM,8/8/17 8:05 PM,1500 block of Orleans Street,Closed-Referred to BPD
Assault,IN20170002184,8/8/17 9:38 PM,8/8/17 9:38 PM,1900 block McElderry Street,Closed-Subject Arrested
Theft from Auto,IN20170002195,8/9/17 2:54 PM,"8/5/2017
10:30 AM - 1:00 PM",600 block N. Castle Street,Closed-Referred to BPD
Robbery,IN20170002196,8/9/17 3:47 PM,7/30/17 2:01 AM,400 block Washington Street,Closed-Referred to BPD
Theft,IN20170002205,8/10/17 8:12 AM,8/10/17 8:11 AM,"Zayed Tower 2nd floor; Arcade
Pharmacy",Closed-No Identifiable Suspect
Theft,IN20170002212,8/11/17 10:15 AM,8/11/17 10:15 AM,"Pre-Clinical Teaching Building
Loading Dock",Under Investigation
Trespassing,IN20170002228,8/12/17 3:00 PM,8/12/17 3:00 PM,"School of Public Health - 615 N.
Wolfe Street",Closed-Referred to BPD
Information Only,IN20170002235,8/13/17 9:17 AM,"8/10/17 4:00 PM -
8/11/17 1:30 PM",700 block Washington Streeet,Reclassifed - Vehicle Towed
Theft,IN20170002236,8/13/17 9:30 AM,"8/12/17
6:49 AM - 7:15 AM",Outpatient Center 1st floor,Closed-Referred to BPD
Theft,IN20170002255,8/15/17 10:41 AM,"7/16/17
11:30 AM - 12:00 PM",911 N. Broadway,Closed-Referred to BPD
Assault,IN20170002260,8/15/17 5:06 PM,8/15/17 5:06 PM,701 N. Broadway,Closed-No Further Action
Theft,IN20170002263,8/15/17 8:02 PM,8/15/17 8:02 PM,701 N. Broadway,"Closed-Victim Declined to
Prosecute"
Weapons Violation,IN20170002266,8/16/17 12:30 AM,8/16/17 12:30 AM,Orleans & Washington Streets,Closed-Subject Arrested
"Theft from Auto;
Destruction of Property",IN20170002279,8/16/17 11:48 AM,"8/16/2017 7:34 AM -
11:49 AM",1900 block of Ashland Avenue,Closed-Referred to BPD
"Theft from Auto;
Destruction of Property",IN20170002288,8/18/17 10:40 AM,8/17/17 1:09 PM,2000 block of Jefferson Street,Closed-Referred to BPD
Theft,IN20170002289,8/18/17 12:00 PM,"8/18/17
11:30 PM - 12:00 PM",Rangos Building 1st floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170002310,8/21/17 9:31 PM,"8/21/17
12:00 PM - 4:15 PM",Orleans Garage,Closed-No Identifiable Suspect
"Theft from Auto;
Destruction of Property",IN20170002318,8/22/17 3:00 PM,"8/22/2017
1:40 PM - 2:30 PM",Washington Garage,Closed-Referred to BPD
Destruction of Property,IN20170002348,8/25/17 6:22 AM,"8/22/17
2:30 PM - 5:30 PM",1700 block Orleans Street,Under Investigation
Theft,IN20170002358,8/26/17 11:30 AM,8/26/17 11:30 AM,Zayed Tower 1st floor; AED,Closed-Referred to Department
Assault,IN20170002367,8/27/17 5:04 PM,8/27/17 5:04 PM,"Zayed Tower 1st floor; AED
(Psych)","Closed-Victim Declined to
Prosecute"
Assault/Domestic Violence,IN20170002377,8/28/17 11:45 AM,8/28/17 11:45 AM,Blalock Building 2nd floor,Closed-No Further Action
Theft,IN20170002408,8/30/17 9:25 AM,"8/29/17 5:00 PM -
8/30/17 6:00 AM",Bloomberg Building 4th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170002406,8/30/17 12:10 PM,"8/30/17
11:30 AM - 12:10 PM",Bloomberg Building 4th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170002410,8/30/17 2:10 PM,8/30/17 2:10 PM,Hampton House 2nd floor,Under Investigation
Assault,IN20170002411,8/30/17 2:40 PM,8/30/17 2:40 PM,Zayed Tower 1st floor; AED,"Closed-Victim Declined to
Prosecute"
Trespassing,IN20170002415,8/30/17 5:01 PM,8/30/17 5:00 PM,Outpatient Center 1st floor,Closed-Subject Banned
Assault/Domestic Violence,IN20170002424,8/31/17 1:15 PM,8/31/17 1:15 PM,Zayed Tower 1st floor; AED,"Closed-Victim Declined to
Prosecute"
Theft,IN20170002425,8/31/17 11:20 AM,8/31/17 11:20 AM,Blalock Building 5th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170002431,9/1/17 4:50 AM,9/1/17 4:27 AM,Zayed Tower 2nd floor,Under Investigation
Assault/Domestic Violence,IN20170002463,9/3/17 3:40 PM,9/3/17 3:40 PM,Meyer Building 7th floor,"Closed-Victim Declined to
Prosecute"
Assault/Domestic Violence,IN20170002467,9/5/17 12:51 AM,9/5/17 12:51 AM,400 block North Broadway,Closed-Referred to BPD
Theft,IN20170002468,9/5/17 3:25 AM,"9/5/17
3:00 AM - 3:25 AM",Meyer Building Sub-basement,"Closed-No Suspects or
Witnesses"
Theft,IN20170002474,9/5/17 2:41 PM,"9/1/17 4:57 PM -
9/5/17 2:41 PM",Park Building Ground Floor,"Closed-No Suspects or
Witnesses"
Theft,IN20170002476,9/5/17 5:00 PM,9/5/17 5:00 PM,Osler Building 5th floor,"Closed-Victim Declined to
Prosecute"
Trespassing,IN20170002482,9/6/17 6:24 PM,9/6/17 6:24 PM,Nelson Building 1st floor,Closed-Subject Banned
Theft,IN20170002500,9/8/17 10:00 AM,"8/30/17 4:30 PM -
9/8/17 8:00 AM",550 Building 4th floor,Under Investigation
Theft,IN20170002495,9/8/17 11:30 AM,"8/17/17 2:45 PM -
9/8/17 11:00 AM",Ross Building 8th floor,"Closed-No Suspects or
Witnesses"
Assault,IN20170002506,9/8/17 8:43 PM,9/8/17 8:43 PM,Bloomberg Building 12th floor,"Closed-Victim Declined to
Prosecute"
Assault,IN20170002545,9/11/17 8:45 PM,9/11/17 8:45 PM,Intersection of Madison & Rutland,Closed-No Further Action
18,,,,,
,,,,,
