Crime,Case Number,Date/Time Reported,Date/Time Occurred,General Location,Disposition
Assault,IN20160002111,8/27/16 8:30 PM,8/27/16 8:30 PM,Nelson Building 3rd floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160002124,8/29/16 5:12 PM,"8/29/16
10:00 AM - 4:50 PM",Meyer Building 1st floor,"Closed-No Suspects or
Witnesses"
Drug Violation,IN20160002137,8/30/16 5:41 AM,8/30/16 5:41 AM,Zayed Tower 12th floor,Closed-Referred to Department
Theft,IN20160002143,8/31/16 8:15 AM,8/31/16 8:15 AM,300 block Broadway,Closed-Referred to BPD
Theft,IN20160002156,9/1/16 9:43 AM,8/26/16 10:40 AM,Zayed Tower 1st floor; AED,Under Investigation
Vandalism,IN20160002165,9/2/16 5:30 PM,9/2/16 5:30 PM,McElderry Garage,Closed-No Identifiable Suspect
Theft from Auto,IN20160002166,9/2/16 6:00 PM,"9/2/16
07:30 AM - 6:00 PM",Monument & Castle,Closed-Referred to BPD
Assault,IN20160002167,9/2/16 7:20 PM,9/2/16 7:20 PM,Zayed Tower 11th floor,Closed-Referred to BPD
Assault,IN20160002176,9/3/16 10:00 AM,9/3/16 10:00 AM,Meyer Building 5th floor,"Closed-Victim Declined to
Prosecute"
Assault,IN20160002199,9/5/16 6:45 PM,9/5/16 6:40 PM,"Bloomberg Building 1st floor;
Ped Emergency (Psych)","Closed-Victim Declined to
Prosecute"
Assault,IN20160002208,9/6/16 2:10 PM,9/6/16 2:10 PM,"Bloomberg Building 1st floor;
Ped Emergency (Psych)","Closed-Victim Declined to
Prosecute"
Theft from Auto,BPD 316090237,9/7/16 9:00 AM,"9/3/16 4:00 PM -
9/6/16 11:00 AM",600 N. Washington Street,Closed-Referred to BPD
Theft,IN20160002221,9/7/16 1:30 PM,9/7/16 1:25 PM,1830 Building 1st floor,Closed-Referred to BPD
Vandalism,IN20160002222,9/7/16 3:41 PM,9/7/16 3:41 PM,Outpatient Center 1st floor,Closed-Subject Arrested
Theft,IN20160002228,9/7/16 7:15 PM,9/7/16 5:15 PM,1900 block Monument Street,Closed-Reclassified
Assault,IN20160002225,9/7/16 5:40 PM,9/7/16 5:40 PM,"Bloomberg Building 1st floor;
Ped Emergency (Psych)","Closed-Victim Declined to
Prosecute"
Theft,IN20160002234,9/8/16 9:30 AM,"9/7/16
12:00 PM - 1:00 PM",Weinberg Building 4th floor,"Closed-No Suspects or
Witnesses"
Assault,IN20160002241,9/8/16 6:05 PM,9/8/16 18:05 PM,Zayed Tower 1st floor; AED,Closed-No Further Action
Theft,IN20160002253,9/9/16 4:10 PM,9/9/16 4:10 PM,"Nelson Building1st floor;
women's restroom",Closed-No Identifiable Suspect
Theft,IN20160002281,9/12/16 11:40 AM,9/12/16 11:40 AM,Outpatient Center 1st floor,Closed-Subject Banned
Theft,IN20160002283,9/12/16 2:10 PM,9/12/16 2:10 PM,"Zayed Tower 2nd floor; Arcade
Pharmacy",Closed-Subject Banned
Theft,IN20160002290,9/12/16 5:00 PM,8/9/16 - 8/12/16,Ashland Garage,"Closed-No Suspects or
Witnesses"
Vandalism,IN20160002291,9/12/16 6:45 PM,9/12/16 6:45 PM,Orleans & Broadway,Closed-No Further Action
Robbery,IN20160002297,9/13/16 8:55 AM,9/13/16 8:55 AM,Nelson Building 1st floor; Café,"Closed-Subject Arrested
(Reclassified from Theft)"
Theft,IN20160002300,9/13/16 2:30 PM,9/9/16 unknown,Zayed Tower Basement,"Closed-No Suspects or
Witnesses"
Theft from Auto,IN20160002345,9/16/16 2:00 PM,9/16/16 2:00 PM,Orleans and Broadway,Closed-Referred to BPD
Assault,IN20160002358,9/17/16 4:57 AM,9/17/16 4:57 AM,Zayed Tower 1st floor; AED,Closed-Referred to BPD
Assault,IN20160002389,9/18/16 1:18 AM,9/18/16 1:18 AM,Zayed Tower 1st floor; AED,Closed-Referred to BPD
Assault,IN20160002384,9/18/16 6:30 AM,9/18/16 6:30 AM,Zayed Tower 10th floor,"Closed-Victim Declined to
Prosecute"
Assault,IN20160002388,9/18/16 12:40 PM,9/18/16 12:40 PM,Zayed Tower 1st floor; AED,Closed-Referred to BPD
Theft,IN20160002395,9/19/16 8:25 AM,"9/17/16 1:15 PM - 9/19/16
05:00 AM",Meyer Building 10th floor,"Closed-No Suspects or
Witnesses"
Assault,IN20160002418,9/20/16 2:20 PM,9/20/16 2:20 PM,Zayed Tower 9th floor,Closed-Referred to BPD
Theft,IN20160002429,9/21/16 8:35 PM,9/21/16 12:23 PM,Zayed Tower 1st floor; AED,Under Investigation
Assault,IN20160002455,9/23/16 3:01 PM,9/23/16 3:01 PM,Outpatient Center 7th floor,Closed-Referred to BPD
Vandalism,IN20160002456,9/23/16 8:30 PM,"9/23/16
4:30 PM - 8:30 PM",1700 block Orleans Street,Closed-Referred to BPD
Drug Violation,IN20160002487,9/27/16 6:40 PM,9/27/16 6:40 PM,Outpatient Center 1st floor,Closed-Referred to BPD
Theft,IN20160002501,9/27/16 9:00 AM,7/18/16 - 9/27/16,"Miller Research Building 1st
floor","Closed-No Suspects or
Witnesses"
Theft,IN20160002497,9/28/16 2:10 PM,"9/23/16 unknown -
9/27/16 3:45 PM",Zayed Tower 9th floor,Under Investigation
Theft,IN20160002534,10/3/16 12:15 AM,"10/2/2016
6:00 PM - 10:45 PM",Bloomberg Building; PED ED,Closed-Referred to BPD
Vandalism,IN20160002538,10/3/16 9:30 AM,"10/3/16
5:30 AM - 9:30 AM",600 block Washington Street,Closed-Referred to BPD
Robbery,IN20160002569,10/4/16 8:00 AM,10/4/16 8:00 AM,Caroline Garage,Closed-No Identifiable Suspect
Assault,IN20160002562,10/5/16 11:45 AM,10/3/16 10:00 AM,Bloomberg Building 12th floor,Closed-No Further Action
Theft,IN20160002579,10/6/16 10:45 AM,10/6/16 10:45 AM,700 block Broadway,Closed-Suspect Arrested
Assault,IN20160002667,10/10/16 9:32 AM,10/10/16 9:32 AM,Halsted Building 2nd floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160002616,10/10/16 12:00 PM,10/10/16 12:00 PM,Weinberg Building 4th floor,"Closed-No Suspects or
Witnesses"
Disorderly Conduct,IN20160002621,10/10/16 4:41 PM,10/10/16 4:41 PM,Outpatient Center 7th floor,Closed-Subject Banned
Theft,IN20160002632,10/11/16 11:05 AM,10/11/16 11:05 AM,600 block North Broadway,Closed-Referred to BPD
Robbery,IN20160002635,10/11/16 8:00 PM,10/11/16 8:00 PM,1600 E. Jefferson Street,Closed-No Identifiable Suspect
Assault,IN20160002638,10/12/16 2:10 AM,10/12/16 2:10 AM,Zayed Tower 12th floor,Closed-No Further Action
Theft,IN20160002643,10/12/16 1:20 PM,"10/11/16
09:00 AM - 08:00 PM",1900 block McElderry Street,"Closed-No Suspects or
Witnesses"
Robbery,IN20160002655,10/13/16 10:10 AM,10/13/16 10:10 AM,"2000 block of E. Monument
Street",Closed-Referred to BPD
Assault,IN20160002664,10/14/16 1:30 AM,10/14/16 1:30 AM,Zayed Tower 1st floor,Closed-Subject Arrested
Assault,IN20160002699,10/17/16 12:00 PM,10/17/16 12:00 PM,Zayed Tower 10th floor,"Closed-Victim Declined to
Prosecute"
Theft from Auto,IN20160002736,10/20/16 2:55 PM,"10/20/16
9:50 AM - 2:55 PM",1600 block Orleans Street,Closed-Referred to BPD
Assault,IN20160002745,10/21/16 11:15 AM,10/21/16 11:15 AM,Zayed Tower 1st floor; AED,Closed-Referred to BPD
Theft,IN20160002757,10/22/16 3:15 PM,"10/21/2016 7:00 PM -
10/22/16 3:15 PM",Ashland Garage,Closed-Referred to BPD
Assault,IN20160002765,10/23/16 11:50 AM,10/23/16 11:50 AM,Bloomberg Building 12th floor,"Closed-Victim Declined to
Prosecute"
Disorderly Conduct,IN20160002813,10/27/16 10:44 AM,10/27/16 10:44 AM,Zayed Tower 1st floor; AED,Closed-Subject Arrested
Theft,IN20160002831,10/27/16 3:30 PM,10/27/3:30 PM,Carnegie Building 5th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160002817,10/27/16 6:00 PM,"10/17/16 3:00 PM -
10/18/16 07:03 AM",Carnegie Building Basement,Under Investigation
Theft,IN20160002818,10/27/16 6:30 PM,"10/27/16
6:30 AM - 6:00 PM",Zayed Tower 5th floor,Closed-Referred to BPD
Assault,IN20160002809,10/27/16 11:15 AM,10/27/16 11:15 AM,1900 block Ashland Avenue,Closed-Referred to BPD
Auto Theft,IN20160002827,10/28/16 8:07 AM,"10/21/16
4:00 PM - 11:00 PM",1800 block Orleans Street,Closed-Referred to BPD
Robbery,IN20160002835,10/28/16 3:38 PM,10/28/16 3:38 PM,Nelson/Harvey Building 1st floor,Closed-Subject Arrested
Vandalism,IN20160002837,10/28/16 8:50 PM,"10/28/2016
1:30 PM - 8:50 PM",900 block Washington Street,Closed-Referred to BPD
Assault,,10/28/16 3:38 PM,10/28/16 3:38 PM,Nelson/Harvey Building 1st floor,Closed-Subject Arrested
Theft,IN20160002887,11/1/16 12:00 PM,11/1/16 12:00 PM,Nelson Building 6th floor,Under Investigation
"Theft of Auto
(Attempted)",IN20160002890,11/1/16 3:40 PM,"11/1/16
4:15 AM - 3:40 PM",1600 block Monument Street,Closed-Referred to BPD
Theft,IN20160002900,11/2/16 9:30 PM,"11/2/16
9:30 AM - 2:30 PM",Weinberg Building 5th floor,Under Investigation
Assault,IN20160002901,11/2/16 10:00 PM,11/2/16 10:00 PM,Zayed Tower 1st floor; AED,Closed-Referred to BPD
Theft,IN20160002904,11/3/16 3:55 AM,"11/1/16 2:47 AM - 11/3/16
3:55 AM",Nelson Building 3rd floor,Under Investigation
Theft from Auto,IN20160002910,11/3/16 8:15 AM,11/3/16 8:15 AM,600 block Washington Street,Closed-Subject Arrested
Theft from Auto,IN20160002942,11/3/16 8:17 AM,11/3/16 8:17 AM,700 N. Wolfe Street,Closed-Subject Arrested
Theft,IN20160002926,11/4/16 6:00 PM,"11/4/16
09:30 AM - 6:00 PM",SHPH Building,"Closed-No Suspects or
Witnesses"
Assault,IN20160002927,11/4/16 8:30 PM,11/4/16 8:30 PM,Fayette & Wolfe Streets,Closed-Referred to BPD
Theft,IN20160002949,11/4/16 12:00 AM,10/24/16 - 11/3/16,Zayed Tower 12th floor,"Closed-No Suspects or
Witnesses"
Vandalism,IN20160002965,11/8/16 4:00 PM,"11/8/16
5:53 AM - 4:00 PM",700 N. Wolfe Street,Closed-No Further Action
Assault,IN20160002984,11/10/16 3:10 PM,11/10/16 3:10 PM,Meyer Building 1st floor,"Closed-Subject Emergency
Petitioned; No Further Action"
Theft,IN20160002986,11/10/16 4:10 PM,11/10/16 4:10 PM,"Zayed Tower 2nd floor; Arcade
Pharmacy",Closed-Subject Banned
Theft,IN20160002992,11/10/16 8:10 PM,11/10/16 8:10 PM,Jefferson & Caroline Streets,Closed-Subject Arrested
Theft,IN20160002997,11/11/16 10:20 AM,11/11/16 10:20 AM,Halsted Building 2nd Floor,Closed-Referred to BPD
Theft from Auto,IN20160003049,11/11/16 12:50 PM,"11/11/16
10:10 AM - 12:50 PM",600 N. Caroline Street,Closed-Referred to BPD
Theft from Auto,IN20160003035,11/15/16 8:15 AM,"11/14/16 7:45 AM -
11/15/16 8:15 AM",1900 McElderry Street,Closed-Referred to BPD
Assault,IN20160003082,11/19/16 1:20 PM,11/19/16 1:20 PM,Zayed Tower 12th floor,Closed-No Further Action
Assault,IN20160003083,11/19/16 6:20 PM,11/19/16 6:20 PM,Zayed Tower 10th floor,Closed-No Further Action
"Homicide/Aggravated
Assault",IN20160003116,11/19/16 10:23 PM,11/19/16 10:23 PM,1500 block Orleans Street,Closed-Referred to BPD
Disorderly Conduct,IN20160003089,11/20/16 4:55 AM,11/20/16 4:55 AM,Bloomberg Building; PED ED,Closed-Subject Arrested
Theft,IN20160003100,11/21/16 4:25 PM,"11/18/16 4:00 PM -
11/21/16 4:25 PM",Weinberg Building L2,"Closed-No Suspects or
Witnesses"
Theft,IN20160003102,11/21/16 4:05 PM,11/21/16 3:45 PM,Carnegie Building 2nd floor,"Closed-No Suspects or
Witnesses"
Theft from Auto,IN20160003112,11/23/16 7:00 AM,11/23/16 7:00 AM,1500 block Monument Street,Closed-Referred to BPD
Theft,IN20160003109,11/23/16 8:45 AM,"11/21/16 09:50 AM -
11/23/16 8:45 AM",Zayed Tower 12th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160003114,11/23/16 4:40 PM,11/23/16 4:40 PM,Maumenee Building 2nd floor,Closed-No Identifiable Suspect
Theft,IN20160003139,11/28/16 7:00 AM,"11/23/16 6:00 PM -
11/28/16 07:00 AM",Outpatient Center 6th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160003141,11/28/16 10:10 AM,"11/28/16
09:00 AM - 09:20 AM",Osler Building 1st floor,"Closed-No Suspects or
Witnesses"
Robbery,IN20160003145,11/28/16 5:07 PM,11/28/16 5:07 PM,1700 E. Monument Street,Closed-Subjects Arrested
Assault,IN20160003151,11/29/16 10:50 AM,11/29/16 10:50 AM,Nelson Building 4th floor,Closed-Subject Banned
Burglary,IN20160003163,11/30/16 2:15 AM,11/30/16 2:15 AM,"Zayed Tower 2nd floor; Arcade
Pharmacy",Under Investigation
Theft from Auto,IN20160003170,11/30/16 4:45 PM,"11/30/16
7:45 AM - 4:30 PM",1500 Orleans Street,Closed-Referred to BPD
Theft,IN20160003182,12/2/16 12:44 AM,"11/30/2016 3:30 PM -
12/1/16 07:00 AM",Zayed Tower 1st floor; AED,"Closed-No Suspects or
Witnesses"
Theft from Auto,IN20160003203,12/3/16 4:10 PM,"12/3/16
07:00 AM - 4:10 PM",200 block N. Wolfe Street,Closed-Referred to BPD
Assault,IN20160003208,12/4/16 5:55 PM,12/4/16 5:55 PM,Zayed Tower 1st floor; AED,"Closed-Victim Declined to
Prosecute"
Assault,IN20160003220,12/5/16 5:13 PM,12/5/16 5:13 PM,Meyer Building 5th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160003221,12/5/16 5:30 PM,"12/5/16
10:00 AM - 4:57 PM",Zayed Tower 5th floor,Closed-Referred to BPD
Theft,IN20160003246,12/7/16 3:00 PM,"12/5/16 12:44 PM - 12/7/16
2:00 PM",Outpatient Center 3rd floor,Under Investigation
Assault,IN20160003249,12/7/16 6:56 PM,12/7/16 6:56 PM,Meyer Building 5th floor,"Closed-Victim Declined to
Prosecute"
Assault,IN20160003316,12/13/16 6:07 PM,12/13/16 6:07 PM,Zayed Tower 9th floor,Closed-Subject Banned
Assault,IN20160003326,12/14/16 3:50 PM,12/14/16 3:50 PM,Zayed Tower 12th floor,"Closed-Victim Declined to
Prosecute"
Aggravated Assault,IN20160003333,12/15/16 1:10 AM,12/15/16 12:30 AM,Zayed Tower 1st floor; AED,Closed-Subject Arrested
Assault,IN20160003341,12/15/16 2:00 PM,12/15/16 2:00 PM,Carnegie Building 1st floor,Closed-Referred to BPD
Theft,IN20160003352,12/16/16 1:38 PM,12/16/16 1:15 PM,Nelson Building 3rd floor,Closed-No Identifiable Suspect
Theft,IN20160003353,12/16/16 3:20 PM,"12/12/2016
1:00 PM - 7:00 PM",Zayed Tower 4th floor,"Closed-No Suspects or
Witnesses"
Assault,IN20160003355,12/16/16 6:20 PM,12/16/16 6:20 PM,"Outpatient Center Concourse
Level; Metro Entrance",Closed-Referred to MTA Police
Theft,IN20160003386,12/19/16 10:09 PM,"12/18/2016 7:15:00 PM -
12/19/16 6:15 PM",Nelson Building 3rd floor,"Closed-No Suspects or
Witnesses"
Assault/Domestic Violence,IN20160003382,12/19/16 3:00 PM,12/19/16 3:00 PM,"Bloomberg Building 1st floor;
Ped ED",Closed-Referred to BPD
Assault,IN20160003396,12/20/16 2:30 PM,12/20/16 2:30 PM,Zayed Tower 5th floor,Closed-Subject Banned
Drug Violation,IN20160003410,12/21/16 4:45 PM,12/21/16 4:45 PM,Zayed Tower 1st floor,Closed-Subject Banned
Vandalism,IN20160003432,12/23/16 8:33 PM,12/23/16 8:33 PM,550 Building; Lobby,Closed-Referred to Dept
Theft,IN20160003434,12/24/16 12:10 AM,12/24/16 12:10 AM,Cooley Center,Closed-Subject Banned
Assault,IN20160003437,12/24/16 7:05 PM,12/24/16 7:05 PM,Meyer Building; 5th floor,"Closed-Victim Declined to
Prosecute"
Theft,IN20160003438,12/24/16 8:10 PM,"12/24/16
6:00 AM - 8:10 PM",Bloomberg Building; 5th floor,"Closed-No Suspects or
Witnesses"
Theft,IN20160003442,12/26/16 10:00 AM,"12/25/16
7:00 AM - 2:30 PM",Zayed Tower 1st floor; AED,"Closed-No Suspects or
Witnesses"
Assault,IN20160003450,12/28/16 8:11 AM,12/25/16 5:50 AM,"Zayed Tower 1st floor: AED
Pysch","Closed-Victim Declined to
Prosecute"
Assault/Domestic Violence,IN20160003455,12/28/16 1:40 PM,12/28/16 1:40 PM,Nelson Building Basement,"Closed-Victim Declined to
Prosecute"
Assault,IN20160003456,12/28/16 2:12 PM,12/28/16 2:12 PM,"Zayed Tower 1st floor; AED
Pysch","Closed-Victim Declined to
Prosecute"
Forgery,IN20160003479,12/30/16 8:00 PM,12/30/16 8:00 PM,"Zayed Tower 2nd floor; Arcade
Pharmacy",Closed-Subject Arrested
21,,,,,
,,,,,
