Crime,Case Number,"Date/Time
Reported","Date/Time
Occurred",General Location,Disposition
Trespassing,IN20150000654,11/11/15 1:26 PM,11/11/15 1:26 PM,CMSC Building Basement,Closed
Theft,IN20150000655,11/11/15 3:12 PM,11/11/15 3:11 PM,415 N Washington St.,Closed
Theft From Vehicle,IN20150000656,11/12/15 6:49 AM,11/11/15 2:26 PM,Orleans St,Closed
Theft,IN20150000658,11/12/15 10:15 AM,11/12/15 10:15 AM,Woods Building 4th floor,Closed
Auto Theft,IN20150000660,11/13/15 1:06 AM,11/13/15 1:06 AM,Orleans St & N Wolfe St,Closed
Theft,IN20150000661,11/13/15 11:28 AM,11/13/15 11:28 AM,Adult Emergency Department Waiting Area,Closed
Theft,IN20150000668,11/16/15 2:28 PM,11/16/15 12:40 PM,CMSC Building 1st floor,Closed
Assault,IN20150000669,11/16/15 10:24 PM,11/16/15 10:24 PM,Adult Emergency Department,Closed
Assault,IN20150000671,11/17/15 4:11 PM,11/17/15 4:11 PM,700 block Rutland Ave,Closed
Theft,IN20150000674,11/18/15 8:26 AM,11/18/15 8:26 AM,Billings Building 3rd floor,Closed
Theft,IN20150000675,11/18/15 4:33 PM,11/18/15 4:33 PM,Billings Building 3rd floor,Closed
Theft,IN20150000678,11/18/15 6:08 PM,11/18/15 6:07 PM,Woods Building 2nd floor,Closed
Theft,IN20150000683,11/20/15 11:30 AM,11/20/15 11:50 AM,Nelson/Harvey Bldg 2nd Floor,Closed-Investigation
Theft,IN20150000686,11/20/15 1:47 PM,11/19/15 1:47 PM,Wilmer Building,Under Investigation
Assault,IN20150000693,11/22/15 11:25 AM,11/22/15 11:25 PM,Meyer Bldg 5th Flr,Closed-Investigation
Theft,IN20150000702,11/23/15 3:35 PM,11/20/15 3:59 AM,Wilmer Building Basement,Closed-Investigation
Assault,IN20150000729,12/1/15 2:08 AM,12/1/15 2:08 AM,Bloomberg Childrens Center 10th Floor,Closed-Investigation
Theft,IN20150000739,12/3/15 9:20 AM,12/2/15 9:00 PM,Brady Building 4th floor,Closed-Investigation
Bomb Threat,IN20150000745,12/4/15 4:21 PM,12/4/15 4:21 PM,Nelson/Harvey Bldg 1st floor,Closed-Investigation
Theft,IN20150000781,12/11/15 9:21 PM,12/11/15 9:21 PM,Zayed Tower 10th floor,Closed-Investigation
Theft,IN20150000803,12/16/15 9:05 AM,12/16/15 12:39 PM,CMSC Building 1st Floor,Closed-Investigation
Hate Crime,IN20150000806,12/16/15 3:31 PM,12/15/15 12:22 PM,Armstrong Med Ed Building,Closed-Investigation
Theft,IN20150000822,12/21/15 11:00 AM,12/21/15 2:44 PM,Maumenee Building 7th floor,Closed-Investigation
Theft,IN20150000827,12/22/15 11:34 PM,12/22/15 6:11 PM,Meyer Bldg 6th Flr,Closed-Investigation
Assault,IN20150000829,12/24/15 12:30 AM,12/24/15 12:30 AM,Nelson/Harvey Bldg 3rd floor,Closed-Investigation
Theft,IN20150000835,12/27/15 3:30 PM,12/27/15 3:30 PM,Weinberg Bldg 5th floor,Closed-Investigation
Theft,IN20150000854,12/31/15 9:27 AM,11/4/15 9:27 PM,Wilmer Building Basement,Closed
,,,,,
